PLOT,Month03_Psum,Month04_Psum,Month05_Psum,Month06_Psum,Month07_Psum,Month08_Psum,Month09_Psum,MAM_Psum,JJAS_Psum,Month03_dailymeanP,Month04_dailymeanP,Month05_dailymeanP,Month06_dailymeanP,Month07_dailymeanP,Month08_dailymeanP,Month09_dailymeanP,MAM_dailymeanP,JJAS_dailymeanP,Month03_dailymeanT,Month04_dailymeanT,Month05_dailymeanT,Month06_dailymeanT,Month07_dailymeanT,Month08_dailymeanT,Month09_dailymeanT,MAM_dailymeanT,JJAS_dailymeanT
31002151,74.82,50.44,125.78,252.36,83.43,223.53,31.24,251.04,503.92,2.41,1.68,4.06,8.41,2.69,7.21,1.04,2.73,5.48,0.21,10.4,18.25,18.28,22.16,21.65,19.28,9.61,18.26
31002152,74.82,50.44,125.78,252.36,83.43,223.53,31.24,251.04,503.92,2.41,1.68,4.06,8.41,2.69,7.21,1.04,2.73,5.48,0.21,10.4,18.25,18.28,22.16,21.65,19.28,9.61,18.26
31002153,74.82,50.44,125.78,252.36,83.43,223.53,31.24,251.04,503.92,2.41,1.68,4.06,8.41,2.69,7.21,1.04,2.73,5.48,0.21,10.4,18.25,18.28,22.16,21.65,19.28,9.61,18.26
31002154,74.82,50.44,125.78,252.36,83.43,223.53,31.24,251.04,503.92,2.41,1.68,4.06,8.41,2.69,7.21,1.04,2.73,5.48,0.21,10.4,18.25,18.28,22.16,21.65,19.28,9.61,18.26
31002155,74.82,50.44,125.78,252.36,83.43,223.53,31.24,251.04,503.92,2.41,1.68,4.06,8.41,2.69,7.21,1.04,2.73,5.48,0.21,10.4,18.25,18.28,22.16,21.65,19.28,9.61,18.26
31002156,74.82,50.44,125.78,252.36,83.43,223.53,31.24,251.04,503.92,2.41,1.68,4.06,8.41,2.69,7.21,1.04,2.73,5.48,0.21,10.4,18.25,18.28,22.16,21.65,19.28,9.61,18.26
31002157,67.15,46.32,132.36,263.16,85.18,230.48,29.81,245.83,527.88,2.17,1.54,4.27,8.77,2.75,7.43,0.99,2.67,5.74,0.65,10.71,18.56,18.6,22.52,22.03,19.72,9.97,18.58
31002158,67.15,46.32,132.36,263.16,85.18,230.48,29.81,245.83,527.88,2.17,1.54,4.27,8.77,2.75,7.43,0.99,2.67,5.74,0.65,10.71,18.56,18.6,22.52,22.03,19.72,9.97,18.58
31002159,67.15,46.32,132.36,263.16,85.18,230.48,29.81,245.83,527.88,2.17,1.54,4.27,8.77,2.75,7.43,0.99,2.67,5.74,0.65,10.71,18.56,18.6,22.52,22.03,19.72,9.97,18.58
31002160,65.34,45.61,134.85,266,85.96,233.72,30.14,245.79,535.7,2.11,1.52,4.35,8.87,2.77,7.54,1,2.67,5.82,0.06,10.22,18.13,18.11,22.03,21.51,19.19,9.46,18.12
31002161,65.34,45.61,134.85,266,85.96,233.72,30.14,245.79,535.7,2.11,1.52,4.35,8.87,2.77,7.54,1,2.67,5.82,0.06,10.22,18.13,18.11,22.03,21.51,19.19,9.46,18.12
31002163,76.45,51.95,122.95,247.86,84.35,218.85,31.49,251.35,493.77,2.47,1.73,3.97,8.26,2.72,7.06,1.05,2.73,5.37,0.4,10.54,18.5,18.44,22.38,21.85,19.55,9.8,18.48
31002164,87.23,56.73,114.62,228.1,76.05,209.23,31.24,258.58,457.34,2.81,1.89,3.7,7.6,2.45,6.75,1.04,2.81,4.97,0.06,10.26,18.09,18.15,22.08,21.5,19.07,9.46,18.11
31002165,87.23,56.73,114.62,228.1,76.05,209.23,31.24,258.58,457.34,2.81,1.89,3.7,7.6,2.45,6.75,1.04,2.81,4.97,0.06,10.26,18.09,18.15,22.08,21.5,19.07,9.46,18.11
31002166,87.23,56.73,114.62,228.1,76.05,209.23,31.24,258.58,457.34,2.81,1.89,3.7,7.6,2.45,6.75,1.04,2.81,4.97,0.06,10.26,18.09,18.15,22.08,21.5,19.07,9.46,18.11
